Codigo;Codigo yfinance;Açao;Part. (%);Acumulado (%)
VALE3;VALE3.SA;VALE;12,618;12,618
PETR4;PETR4.SA;PETROBRAS;8,782;21,4
ITUB4;ITUB4.SA;ITAU UNIBANCO;7,188;28,588
PETR3;PETR3.SA;PETROBRAS;4,824;33,412
BBAS3;BBAS3.SA;BANCO DO BRASIL;3,737;37,149
ELET3;ELET3.SA;ELETROBRAS;3,552;40,701
BBDC4;BBDC4.SA;BRADESCO;3,331;44,032
B3SA3;B3SA3.SA;B3;2,972;47,004
WEGE3;WEGE3.SA;WEG;2,71;49,714
ABEV3;ABEV3.SA;AMBEV S/A;2,492;52,206
ITSA4;ITSA4.SA;ITAUSA;2,43;54,636
RENT3;RENT3.SA;LOCALIZA;2,035;56,671
SUZB3;SUZB3.SA;SUZANO S.A.;1,985;58,656
PRIO3;PRIO3.SA;PETRORIO;1,853;60,509
BPAC11;BPAC11.SA;BTGP BANCO;1,781;62,29
EQTL3;EQTL3.SA;EQUATORIAL;1,619;63,909
RADL3;RADL3.SA;RAIADROGASIL;1,541;65,45
UGPA3;UGPA3.SA;ULTRAPAR;1,37;66,82
SBSP3;SBSP3.SA;SABESP;1,363;68,183
BRFS3;BRFS3.SA;BRF SA;1,357;69,54
RDOR3;RDOR3.SA;REDE D OR;1,355;70,895
VBBR3;VBBR3.SA;VIBRA;1,232;72,127
RAIL3;RAIL3.SA;RUMO S.A.;1,228;73,355
GGBR4;GGBR4.SA;GERDAU;1,224;74,579
JBSS3;JBSS3.SA;JBS;1,191;75,77
EMBR3;EMBR3.SA;EMBRAER;1,078;76,848
BBSE3;BBSE3.SA;BBSEGURIDADE;1,051;77,899
VIVT3;VIVT3.SA;TELEF BRASIL;0,978;78,877
ENEV3;ENEV3.SA;ENEVA;0,919;79,796
CMIG4;CMIG4.SA;CEMIG;0,894;80,69
BBDC3;BBDC3.SA;BRADESCO;0,859;81,549
ASAI3;ASAI3.SA;ASSAI;0,857;82,406
KLBN11;KLBN11.SA;KLABIN S/A;0,826;83,232
CSAN3;CSAN3.SA;COSAN;0,799;84,031
HAPV3;HAPV3.SA;HAPVIDA;0,751;84,782
CPLE6;CPLE6.SA;COPEL;0,742;85,524
ENGI11;ENGI11.SA;ENERGISA;0,716;86,24
LREN3;LREN3.SA;LOJAS RENNER;0,706;86,946
TOTS3;TOTS3.SA;TOTVS;0,685;87,631
TIMS3;TIMS3.SA;TIM;0,663;88,294
NTCO3;NTCO3.SA;GRUPO NATURA;0,646;88,94
CCRO3;CCRO3.SA;CCR SA;0,597;89,537
HYPE3;HYPE3.SA;HYPERA;0,551;90,088
ALOS3;ALOS3.SA;ALLOS;0,549;90,637
ELET6;ELET6.SA;ELETROBRAS;0,544;91,181
EGIE3;EGIE3.SA;ENGIE BRASIL;0,484;91,665
TRPL4;TRPL4.SA;TRAN PAULIST;0,474;92,139
SANB11;SANB11.SA;SANTANDER BR;0,438;92,577
CSNA3;CSNA3.SA;SID NACIONAL;0,419;92,996
TAEE11;TAEE11.SA;TAESA;0,37;93,366
RRRP3;RRRP3.SA;3R PETROLEUM;0,368;93,734
GOAU4;GOAU4.SA;GERDAU MET;0,345;94,079
CPFE3;CPFE3.SA;CPFL ENERGIA;0,311;94,39
MULT3;MULT3.SA;MULTIPLAN;0,307;94,697
CRFB3;CRFB3.SA;CARREFOUR BR;0,288;94,985
CIEL3;CIEL3.SA;CIELO;0,288;95,273
BRKM5;BRKM5.SA;BRASKEM;0,281;95,554
CMIN3;CMIN3.SA;CSNMINERACAO;0,28;95,834
RECV3;RECV3.SA;PETRORECSA;0,276;96,11
CYRE3;CYRE3.SA;CYRELA REALT;0,263;96,373
BRAP4;BRAP4.SA;BRADESPAR;0,252;96,625
USIM5;USIM5.SA;USIMINAS;0,252;96,877
MGLU3;MGLU3.SA;MAGAZ LUIZA;0,23;97,107
IGTI11;IGTI11.SA;IGUATEMI S.A;0,216;97,323
YDUQ3;YDUQ3.SA;YDUQS PART;0,193;97,516
SMTO3;SMTO3.SA;SAO MARTINHO;0,189;97,705
SLCE3;SLCE3.SA;SLC AGRICOLA;0,175;97,88
RAIZ4;RAIZ4.SA;RAIZEN;0,171;98,051
COGN3;COGN3.SA;COGNA ON;0,17;98,221
FLRY3;FLRY3.SA;FLEURY;0,16;98,381
AZUL4;AZUL4.SA;AZUL;0,155;98,536
IRBR3;IRBR3.SA;IRBBRASIL RE;0,154;98,69
MRFG3;MRFG3.SA;MARFRIG;0,154;98,844
ARZZ3;ARZZ3.SA;AREZZO CO;0,152;98,996
VAMO3;VAMO3.SA;VAMOS;0,148;99,144
SOMA3;SOMA3.SA;GRUPO SOMA;0,143;99,287
MRVE3;MRVE3.SA;MRV;0,117;99,404
DXCO3;DXCO3.SA;DEXCO;0,104;99,508
LWSA3;LWSA3.SA;LWSA;0,091;99,599
ALPA4;ALPA4.SA;ALPARGATAS;0,075;99,674
BEEF3;BEEF3.SA;MINERVA;0,075;99,749
PETZ3;PETZ3.SA;PETZ;0,071;99,82
EZTC3;EZTC3.SA;EZTEC;0,059;99,879
CVCB3;CVCB3.SA;CVC BRASIL;0,048;99,927
PCAR3;PCAR3.SA;P.ACUCAR-CBD;0,045;99,972
BHIA3;BHIA3.SA;CASAS BAHIA;0,028;100
